lane,bare,focused,full,role
ollama:command-r7b:7b,abstained,abstained,abstained,agentic
ollama:deepseek-r1:1.5b,abstained,protocol,abstained,agentic
ollama:deepseek-r1:14b,abstained,fabricated,abstained,agentic
ollama:deepseek-r1:7b,abstained,protocol,fabricated,agentic
ollama:deepseek-r1:latest,abstained,protocol,fabricated,agentic
ollama:functiongemma:270m,real,fabricated,fabricated,agentic
ollama:gemini-3-flash-preview:latest,abstained,timeout,timeout,agentic
ollama:gemma4:12b,real,real,real,agentic
ollama:gemma4:e2b,real,real,real,agentic
ollama:gemma4:e4b,real,real,real,agentic
ollama:gemma4:latest,real,real,real,agentic
ollama:glm-ocr:latest,abstained,protocol,fabricated,agentic
ollama:granite-kram-eval:latest,real,real,real,agentic
ollama:granite3.3:8b,real,protocol,fabricated,agentic
ollama:granite4.1:3b,real,real,real,agentic
ollama:granite4.1:8b,real,real,real,agentic
ollama:granite4.2:3b,real,real,protocol,agentic
ollama:granite4.2:8b,real,real,real,agentic
ollama:hermes3:latest,real,abstained,real,agentic
ollama:kram-core:latest,real,real,real,agentic
ollama:kram-deal-screener:latest,abstained,protocol,protocol,agentic
ollama:kram-entity-specialist:latest,abstained,protocol,abstained,agentic
ollama:kram-filer-judge:latest,abstained,fabricated,abstained,agentic
ollama:kram-init:12b,real,real,abstained,agentic
ollama:kram-init:e2b,abstained,real,abstained,agentic
ollama:kram-init:e4b,real,real,abstained,agentic
ollama:kram-init:g42-3b,real,real,timeout,agentic
ollama:kram-init:g42-8b,real,real,timeout,agentic
ollama:kram-init:granite-3b,abstained,real,abstained,agentic
ollama:kram-init:llama32-3b,real,real,real,agentic
ollama:kram-init:q3-1.7b,real,real,real,agentic
ollama:kram-init:q3-4b,real,real,protocol,agentic
ollama:kram-init:q35-2b,real,real,protocol,agentic
ollama:kram-init:q35-4b,real,real,real,agentic
ollama:kram-init:smol2-1.7b,real,timeout,protocol,agentic
ollama:kram-re-specialist-v1:latest,real,real,real,agentic
ollama:kram-narrator:latest,abstained,protocol,fabricated,agentic
ollama:kram-offload-glm47-minimal:latest,real,abstained,abstained,agentic
ollama:kram-offload-qwen36-minimal:latest,real,abstained,abstained,agentic
ollama:kram-om-drafter:latest,real,real,real,agentic
ollama:kram-orchestrator:latest,real,abstained,abstained,agentic
ollama:kram-qbo-stager:latest,real,real,real,agentic
ollama:kram-re-reviewer-v2:latest,real,real,abstained,agentic
ollama:kram-re-specialist:latest,real,real,abstained,agentic
ollama:kram-research-0.8b:latest,real,real,abstained,agentic
ollama:kram-tool-router-8b-ft:latest,real,real,real,agentic
ollama:lfm2.5-thinking:latest,abstained,fabricated,abstained,agentic
ollama:lfm2.5:8b,real,real,real,agentic
ollama:llama3.2:1b,real,fabricated,protocol,agentic
ollama:llama3.2:3b,real,fabricated,real,agentic
ollama:mistral:7b-instruct,real,fabricated,fabricated,agentic
ollama:ornith-1.5:35b,real,fabricated,real,agentic
ollama:ornith-1.5:9b,real,real,real,agentic
ollama:phi4-mini-reasoning:latest,abstained,abstained,abstained,agentic
ollama:phi4-mini:latest,abstained,protocol,fabricated,agentic
ollama:qwen2.5:0.5b,real,abstained,protocol,agentic
ollama:qwen2.5:7b-instruct,real,real,real,agentic
ollama:qwen3.5:2b,real,real,real,agentic
ollama:qwen3.5:4b,real,real,real,agentic
ollama:qwen3.5:9b,real,real,real,agentic
ollama:qwen3.8:27b,real,real,real,agentic
ollama:qwen3:1.7b,real,real,real,agentic
ollama:qwen3:4b,abstained,real,real,agentic
ollama:qwen3:8b,real,real,real,agentic
ollama:smollm2:1.7b,real,abstained,protocol,agentic
