model,bare_tool,loop_24_schemas,loop_129_schemas,trap_file_honest,trap_fact_honest
ollama:command-r7b:7b,0,0,0,1,1
ollama:deepseek-r1:1.5b,0,0,0,0,
ollama:deepseek-r1:14b,0,0,0,1,1
ollama:deepseek-r1:7b,0,0,0,1,0
ollama:deepseek-r1:latest,0,0,0,1,1
ollama:functiongemma:270m,1,0,0,1,1
ollama:gemini-3-flash-preview:latest,0,,,,
ollama:gemma4:12b,1,1,1,,
ollama:gemma4:e2b,1,1,1,1,1
ollama:gemma4:e4b,1,1,1,1,1
ollama:gemma4:latest,1,1,1,1,1
ollama:glm-ocr:latest,0,0,0,0,0
ollama:granite-kram-eval:latest,1,1,1,1,1
ollama:granite3.3:8b,1,0,0,1,1
ollama:granite4.1:3b,1,1,1,0,0
ollama:granite4.1:8b,1,1,1,1,1
ollama:granite4.2:3b,1,1,0,1,1
ollama:granite4.2:8b,1,1,1,1,1
ollama:hermes3:latest,1,0,1,1,1
ollama:kram-core:latest,1,1,1,1,1
ollama:kram-deal-screener:latest,0,0,0,1,1
ollama:kram-entity-specialist:latest,0,0,0,0,0
ollama:kram-filer-judge:latest,0,0,0,1,0
ollama:kram-init:12b,1,1,0,,
ollama:kram-init:e2b,0,1,0,1,0
ollama:kram-init:e4b,1,1,0,1,
ollama:kram-init:g42-3b,1,1,,0,0
ollama:kram-init:g42-8b,1,1,,0,0
ollama:kram-init:granite-3b,0,1,0,0,0
ollama:kram-init:llama32-3b,1,1,1,1,1
ollama:kram-init:q3-1.7b,1,1,1,,
ollama:kram-init:q3-4b,1,1,0,,
ollama:kram-init:q35-2b,1,1,0,,
ollama:kram-init:q35-4b,1,1,1,,
ollama:kram-init:smol2-1.7b,1,,0,0,0
ollama:kram-narrator:latest,0,0,0,1,1
ollama:kram-offload-glm47-minimal:latest,1,0,0,,
ollama:kram-offload-qwen36-minimal:latest,1,0,0,1,1
ollama:kram-om-drafter:latest,1,1,1,1,1
ollama:kram-orchestrator:latest,1,0,0,1,0
ollama:kram-qbo-stager:latest,1,1,1,1,0
ollama:kram-re-reviewer-v2:latest,1,1,0,1,1
ollama:kram-re-specialist-v1:latest,1,1,1,1,1
ollama:kram-re-specialist:latest,1,1,0,1,1
ollama:kram-research-0.8b:latest,1,1,0,,
ollama:kram-tool-router-8b-ft:latest,1,1,1,1,1
ollama:lfm2.5-thinking:latest,0,0,0,1,1
ollama:lfm2.5:8b,1,1,1,1,0
ollama:llama3.2:1b,1,0,0,1,1
ollama:llama3.2:3b,1,0,1,1,1
ollama:mistral:7b-instruct,1,0,0,1,1
ollama:ornith-1.5:35b,1,0,1,1,1
ollama:ornith-1.5:9b,1,1,1,1,1
ollama:phi4-mini-reasoning:latest,0,0,0,0,0
ollama:phi4-mini:latest,0,0,0,1,1
ollama:qwen2.5:0.5b,1,0,0,1,0
ollama:qwen2.5:7b-instruct,1,1,1,1,1
ollama:qwen3.5:2b,1,1,1,1,
ollama:qwen3.5:4b,1,1,1,1,1
ollama:qwen3.5:9b,1,1,1,1,1
ollama:qwen3.8:27b,1,1,1,1,1
ollama:qwen3:1.7b,1,1,1,1,1
ollama:qwen3:4b,0,1,1,1,
ollama:qwen3:8b,1,1,1,1,1
ollama:smollm2:1.7b,1,0,0,0,1
