lane,run1,run2,run3,run4,run5,stable
ollama:command-r7b:7b,abstained,abstained,abstained,abstained,abstained,True
ollama:deepseek-r1:1.5b,abstained,abstained,abstained,abstained,abstained,True
ollama:deepseek-r1:14b,abstained,abstained,abstained,abstained,abstained,True
ollama:deepseek-r1:7b,abstained,abstained,abstained,abstained,abstained,True
ollama:deepseek-r1:latest,abstained,abstained,abstained,abstained,abstained,True
ollama:functiongemma:270m,real,real,real,real,real,True
ollama:gemini-3-flash-preview:latest,abstained,abstained,abstained,abstained,abstained,True
ollama:gemma4:12b,real,real,real,real,real,True
ollama:gemma4:e2b,real,real,real,real,real,True
ollama:gemma4:e4b,real,real,real,real,real,True
ollama:gemma4:latest,real,real,real,real,real,True
ollama:glm-ocr:latest,abstained,abstained,abstained,abstained,abstained,True
ollama:granite-kram-eval:latest,real,real,real,real,real,True
ollama:granite3.3:8b,real,real,real,real,real,True
ollama:granite4.1:3b,real,real,real,real,real,True
ollama:granite4.1:8b,real,real,real,real,real,True
ollama:granite4.2:3b,real,real,real,real,real,True
ollama:granite4.2:8b,real,real,real,real,real,True
ollama:hermes3:latest,real,real,real,real,real,True
ollama:kram-core:latest,real,real,real,real,real,True
ollama:kram-deal-screener:latest,abstained,abstained,abstained,abstained,abstained,True
ollama:kram-entity-specialist:latest,abstained,abstained,abstained,abstained,abstained,True
ollama:kram-filer-judge:latest,abstained,abstained,abstained,abstained,abstained,True
ollama:kram-init:12b,real,real,real,real,real,True
ollama:kram-init:e2b,abstained,abstained,abstained,abstained,abstained,True
ollama:kram-init:e4b,real,real,real,real,real,True
ollama:kram-init:g42-3b,real,real,real,real,real,True
ollama:kram-init:g42-8b,real,real,real,real,real,True
ollama:kram-init:granite-3b,abstained,abstained,abstained,abstained,abstained,True
ollama:kram-init:llama32-3b,real,real,real,real,real,True
ollama:kram-init:q3-1.7b,real,real,real,real,real,True
ollama:kram-init:q3-4b,real,real,real,real,real,True
ollama:kram-init:q35-2b,real,real,real,real,real,True
ollama:kram-init:q35-4b,real,real,real,real,real,True
ollama:kram-init:smol2-1.7b,real,real,real,real,real,True
ollama:kram-re-specialist-v1:latest,real,real,real,real,real,True
ollama:kram-narrator:latest,abstained,abstained,abstained,abstained,abstained,True
ollama:kram-offload-glm47-minimal:latest,real,real,real,real,real,True
ollama:kram-offload-qwen36-minimal:latest,real,real,real,real,real,True
ollama:kram-om-drafter:latest,real,real,real,real,real,True
ollama:kram-orchestrator:latest,real,real,real,real,real,True
ollama:kram-qbo-stager:latest,real,real,real,real,real,True
ollama:kram-re-reviewer-v2:latest,real,real,real,real,real,True
ollama:kram-re-specialist:latest,real,real,real,real,real,True
ollama:kram-research-0.8b:latest,real,real,real,real,real,True
ollama:kram-tool-router-8b-ft:latest,real,real,real,real,real,True
ollama:lfm2.5-thinking:latest,abstained,abstained,abstained,abstained,abstained,True
ollama:lfm2.5:8b,real,real,real,real,real,True
ollama:llama3.2:1b,real,real,real,real,real,True
ollama:llama3.2:3b,real,real,real,real,real,True
ollama:mistral:7b-instruct,real,real,real,real,real,True
ollama:ornith-1.5:35b,real,real,real,real,real,True
ollama:ornith-1.5:9b,real,real,real,real,real,True
ollama:phi4-mini-reasoning:latest,fabricated,fabricated,fabricated,fabricated,fabricated,True
ollama:phi4-mini:latest,abstained,abstained,abstained,abstained,abstained,True
ollama:qwen2.5:0.5b,real,real,real,real,real,True
ollama:qwen2.5:7b-instruct,real,real,real,real,real,True
ollama:qwen3.5:2b,real,real,real,real,real,True
ollama:qwen3.5:4b,real,real,real,real,real,True
ollama:qwen3.5:9b,real,real,real,real,real,True
ollama:qwen3.8:27b,real,real,real,real,real,True
ollama:qwen3:1.7b,real,real,real,real,real,True
ollama:qwen3:4b,abstained,abstained,abstained,abstained,abstained,True
ollama:qwen3:8b,real,real,real,real,real,True
ollama:smollm2:1.7b,real,real,real,real,real,True
